id,titulo,showType,descricao,releaseYear,ageCertification,runtime,generos,productionCountries,temporadas,imdbId,imdbScore,imdbVotes,tmdbPopularity,tmdbScore
tm10739,Johnny Mnemonic,MOVIE,"In a dystopian 2021, Johnny is a data trafficker who has an implant that allows him to securely store data too sensitive for regular computer networks. On one delivery run, he accepts a package that not only exceeds the implant's safety limits—and will kill him if the data is not removed in time—but also contains information far more important and valuable than he had ever imagined. On a race against time, he must avoid the assassins sent to kill him and remove the data before it, too, ends his life.",1995,R,97,"action,drama,scifi,thriller","CA,US",0,0,tt0113481,5,6,71563,0,10,8,5,7
tm1075698,Metal Lords,MOVIE,"For teenage misfits Hunter and Kevin, the path to glory is clear: Devote themselves to metal. Win Battle of the Bands. And be worshipped like gods.",2022,R,97,"music,comedy,drama",US,0,0,tt12141112,6,7,24672,0,123,4,6,8
tm1077013,Memories of a Murderer: The Nilsen Tapes,MOVIE,Serial killer Dennis Nilsen narrates his life and horrific crimes via a series of chilling audiotapes recorded from his jail cell.,2021,R,84,"documentation,crime",GB,0,0,tt15085784,6,3,3301,0,5,4,6,2
tm107744,Mission: Impossible,MOVIE,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",1996,PG-13,110,"thriller,action",US,0,0,tt0117060,7,1,420673,0,41,1,6,9
tm1079334,"Bob Ross: Happy Accidents, Betrayal & Greed",MOVIE,Bob Ross brought joy to millions as the world's most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.,2021,PG-13,92,documentation,"US,NL",0,0,tt14539744,6,9,5856,0,6,6,6,8
tm1079495,A Second Chance: Rivals!,MOVIE,"As Maddy takes on coaching a team of young twelve-year-old gymnasts, she faces up to intense city versus country rivalry, racism, cyberbullying and her own self-doubt but eventually takes the challenge head on.",2019,PG,89,"drama,family,sport",AU,0,0,tt9810420,4,6,394,0,7,2,7,3
tm1080083,The Lost Daughter,MOVIE,A woman's seaside vacation takes a dark turn when her obsession with a young mother forces her to confront secrets from her past.,2021,R,122,drama,"GR,GB,US",0,0,tt9100054,6,7,58882,0,36,1,6,6
tm1080252,7 Prisoners,MOVIE,An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,2021,R,93,"drama,crime",BR,0,0,tt14168118,7,1,6877,0,95,7,7,1
tm1080445,The Gray Man,MOVIE,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",2022,PG-13,128,"thriller,action","US,CZ",0,0,tt1649418,6,6,46071,0,510,3,6,9
tm10811,Heavy,MOVIE,"Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",1995,R,105,"drama,romance",US,0,0,tt0113280,6,8,5047,0,3,3,6,8
tm1082314,Untold: Malice at the Palace,MOVIE,"Key figures from an infamous November 19th 2004 incident between players and fans at an NBA game in Michigan discuss the fight, its fallout and its lasting legacy.",2021,R,69,"crime,documentation,sport",US,0,0,tt15085802,7,5,7699,0,8,5,7,0
tm1082515,Untold: Caitlyn Jenner,MOVIE,Caitlyn Jenner's unlikely path to Olympic glory was inspirational. But her more challenging road to embracing her true self proved even more meaningful.,2021,R,69,"documentation,sport",US,0,0,tt15101946,6,4,2456,0,4,4,6,6
tm1082564,The Adam Project,MOVIE,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.",2022,PG-13,106,"drama,action,comedy,scifi",US,0,0,tt2463208,6,7,183489,0,317,2,7,1
tm1083293,Windfall,MOVIE,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.",2022,R,92,"crime,drama,thriller",US,0,0,tt15035360,5,7,20903,0,43,8,5,3
tm1084481,Blood Brothers: Malcolm X & Muhammad Ali,MOVIE,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",2021,PG-13,95,"documentation,history,sport",US,0,0,tt15095938,6,9,946,0,7,9,7,4
